year,imd,sex,cause,<1   ,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+  ,All Ages
1981,3,Male,01 Neoplasms,5,5,6,7,19,19,21,25,40,61,145,322,638,889,1323,1498,1214,664,255,67,7223
1981,3,Male,02 Diseases of the respiratory system,50,9,4,5,2,6,8,6,6,17,21,76,176,272,447,804,1004,875,492,283,4563
1981,3,Male,03 Diabetes,0,1,0,1,0,0,0,3,1,3,6,6,10,13,31,34,45,20,16,2,192
1981,3,Male,04 Ischaemic heart disease,2,0,0,0,1,2,7,20,35,108,273,486,886,1150,1493,1745,1511,929,408,147,9203
1981,3,Male,05 Stroke (cerebrovascular),0,2,0,1,5,3,2,3,9,23,29,64,112,188,344,516,605,465,239,118,2728
1981,3,Male,06 Other circulatory,4,1,2,2,5,4,8,9,13,22,39,66,124,179,350,477,485,373,244,119,2526
1981,3,Male,07 Intentional injuries,0,1,0,0,6,27,30,33,24,23,30,26,20,24,22,18,17,6,1,1,309
1981,3,Male,08 Unintentional injuries,6,15,14,29,79,73,45,39,28,29,40,34,36,52,28,46,56,50,28,19,746
1981,3,Male,09 All other causes,341,45,14,10,30,39,36,43,42,43,66,84,126,175,238,323,364,265,142,68,2494
1981,3,Male,10 Neonatal,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
1981,3,Female,01 Neoplasms,1,5,6,6,10,6,23,35,61,112,206,338,525,687,835,968,942,802,469,177,6214
1981,3,Female,02 Diseases of the respiratory system,26,6,3,4,11,2,2,8,8,15,19,45,85,144,229,429,716,963,972,782,4469
1981,3,Female,03 Diabetes,0,0,2,0,0,0,2,0,1,3,3,6,16,15,45,48,50,56,34,7,288
1981,3,Female,04 Ischaemic heart disease,0,0,0,0,0,1,0,2,7,20,42,120,242,391,742,1127,1398,1479,993,470,7034
1981,3,Female,05 Stroke (cerebrovascular),1,0,0,2,3,3,3,8,6,15,42,60,106,163,277,571,879,978,721,492,4330
1981,3,Female,06 Other circulatory,0,1,1,1,5,2,5,4,8,10,25,43,91,145,266,436,658,820,790,577,3888
1981,3,Female,07 Intentional injuries,1,0,0,0,6,7,12,7,12,14,16,15,16,21,29,14,9,9,4,0,192
1981,3,Female,08 Unintentional injuries,5,14,9,16,26,14,8,10,6,7,8,14,13,27,28,49,66,99,80,64,563
1981,3,Female,09 All other causes,234,23,11,8,29,31,20,30,32,40,39,78,120,135,223,288,446,516,418,272,2993
1981,3,Female,10 Neonatal,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1981,4,Male,01 Neoplasms,1,5,9,10,14,17,24,29,36,78,146,292,565,894,1251,1409,1180,646,274,73,6953
1981,4,Male,02 Diseases of the respiratory system,42,6,5,1,7,5,5,7,10,15,28,40,117,204,432,708,887,716,516,261,4012
1981,4,Male,03 Diabetes,0,0,0,0,0,2,1,1,4,6,12,4,10,18,39,38,43,24,12,2,216
1981,4,Male,04 Ischaemic heart disease,0,0,0,0,0,0,2,15,49,108,220,453,814,1001,1443,1701,1554,905,425,167,8857
1981,4,Male,05 Stroke (cerebrovascular),0,0,0,1,1,0,4,3,13,15,36,56,108,174,359,486,582,462,246,113,2659
1981,4,Male,06 Other circulatory,4,1,1,5,4,4,4,4,19,15,40,65,100,178,289,440,490,378,246,140,2427
1981,4,Male,07 Intentional injuries,2,0,0,0,8,19,25,31,22,24,17,27,26,24,18,11,11,4,1,1,271
1981,4,Male,08 Unintentional injuries,9,12,10,26,110,77,59,35,33,33,25,31,42,25,33,30,39,41,22,14,706
1981,4,Male,09 All other causes,285,23,9,15,24,27,35,27,29,49,65,79,117,143,239,268,362,269,151,91,2307
1981,4,Male,10 Neonatal,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
1981,4,Female,01 Neoplasms,1,4,6,8,13,8,23,44,73,100,173,316,499,640,800,1007,927,742,417,208,6009
1981,4,Female,02 Diseases of the respiratory system,23,6,3,0,6,5,8,2,11,11,18,48,78,116,204,359,566,832,861,733,3890
1981,4,Female,03 Diabetes,0,1,0,0,0,0,0,0,3,0,4,2,12,18,28,43,53,45,21,11,241
1981,4,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,3,7,13,41,86,209,347,648,1071,1360,1400,910,544,6639
1981,4,Female,05 Stroke (cerebrovascular),0,0,0,1,2,4,4,3,3,9,24,39,102,117,277,509,792,964,797,494,4141
1981,4,Female,06 Other circulatory,0,1,0,5,2,1,2,6,9,7,24,42,75,141,211,382,598,769,691,600,3566
1981,4,Female,07 Intentional injuries,2,0,1,0,3,8,10,8,6,13,18,19,19,16,15,19,10,9,2,1,179
1981,4,Female,08 Unintentional injuries,7,11,7,7,14,10,20,15,8,10,12,13,16,20,24,50,75,89,79,47,534
1981,4,Female,09 All other causes,210,24,8,10,23,19,15,16,27,31,44,65,93,127,198,303,424,496,419,273,2825
1981,4,Female,10 Neonatal,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1981,5,Male,01 Neoplasms,2,2,8,10,15,21,17,34,33,75,137,284,536,760,1216,1386,1192,653,269,70,6720
1981,5,Male,02 Diseases of the respiratory system,36,7,0,1,6,7,4,3,9,13,19,42,128,216,371,685,853,827,509,284,4020
1981,5,Male,03 Diabetes,0,0,0,0,0,0,2,1,0,0,7,7,13,14,26,44,51,29,12,4,210
1981,5,Male,04 Ischaemic heart disease,0,0,0,0,0,2,5,20,43,103,224,433,681,995,1389,1693,1464,950,439,159,8600
1981,5,Male,05 Stroke (cerebrovascular),0,0,1,1,1,2,4,4,5,6,35,48,91,158,313,466,570,428,238,119,2490
1981,5,Male,06 Other circulatory,2,2,1,1,3,3,4,4,6,21,24,47,108,171,313,487,507,390,297,154,2545
1981,5,Male,07 Intentional injuries,1,0,0,0,8,18,35,24,30,25,25,24,31,28,13,16,10,2,1,2,293
1981,5,Male,08 Unintentional injuries,4,10,14,20,108,75,48,37,20,17,29,32,39,34,32,47,44,41,23,8,682
1981,5,Male,09 All other causes,213,28,12,8,30,26,24,35,29,26,49,82,129,152,217,268,353,298,150,83,2212
1981,5,Male,10 Neonatal,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1981,5,Female,01 Neoplasms,1,10,8,8,8,9,20,44,61,106,182,309,533,620,793,916,893,758,420,200,5899
1981,5,Female,02 Diseases of the respiratory system,17,9,2,3,4,4,7,5,4,5,19,32,66,120,216,388,659,910,885,891,4246
1981,5,Female,03 Diabetes,0,0,0,0,0,0,2,0,0,0,1,5,14,16,26,46,65,46,33,16,270
1981,5,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,1,5,15,32,76,162,316,631,1020,1281,1344,889,531,6303
1981,5,Female,05 Stroke (cerebrovascular),0,0,0,0,3,4,2,7,9,14,23,52,52,135,255,502,844,938,773,514,4127
1981,5,Female,06 Other circulatory,1,0,0,2,2,1,2,5,6,14,19,36,66,105,208,394,571,795,694,641,3562
1981,5,Female,07 Intentional injuries,2,0,1,1,4,7,6,14,7,15,17,16,22,10,24,19,10,8,1,0,184
1981,5,Female,08 Unintentional injuries,5,5,3,3,18,22,9,6,6,8,17,15,15,20,37,63,69,90,79,62,552
1981,5,Female,09 All other causes,173,21,9,10,17,23,16,18,23,29,47,59,91,135,217,301,418,523,401,308,2839
1981,5,Female,10 Neonatal,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
1981,6,Male,01 Neoplasms,2,4,8,8,15,12,21,32,47,77,142,261,481,683,1123,1303,1103,629,283,80,6314
1981,6,Male,02 Diseases of the respiratory system,21,8,2,4,8,10,5,5,8,13,24,26,101,161,347,609,818,789,538,286,3783
1981,6,Male,03 Diabetes,0,0,0,0,0,1,1,0,3,3,3,6,14,14,25,32,30,29,12,7,180
1981,6,Male,04 Ischaemic heart disease,0,0,0,1,0,1,4,14,35,98,191,356,639,921,1317,1624,1430,941,496,209,8277
1981,6,Male,05 Stroke (cerebrovascular),0,0,0,1,1,2,3,5,7,15,27,42,86,141,265,471,578,479,270,129,2522
1981,6,Male,06 Other circulatory,0,1,2,1,7,3,5,9,9,19,26,53,111,150,261,405,509,393,280,181,2425
1981,6,Male,07 Intentional injuries,2,0,0,0,7,19,19,23,19,19,24,28,34,23,16,20,12,3,5,2,275
1981,6,Male,08 Unintentional injuries,4,10,22,17,101,68,46,37,27,22,32,23,35,37,38,51,60,39,22,12,703
1981,6,Male,09 All other causes,221,19,9,17,31,21,20,29,28,22,50,77,108,133,202,286,345,268,192,96,2174
1981,6,Male,10 Neonatal,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1981,6,Female,01 Neoplasms,3,5,2,8,8,9,18,28,54,106,194,299,473,531,776,968,900,697,425,206,5710
1981,6,Female,02 Diseases of the respiratory system,16,9,3,4,4,5,6,3,5,7,21,27,51,100,178,358,587,829,903,800,3916
1981,6,Female,03 Diabetes,0,0,1,0,0,0,1,0,0,1,0,5,8,14,16,39,73,55,20,10,243
1981,6,Female,04 Ischaemic heart disease,0,0,0,1,0,1,2,1,4,19,30,66,145,301,540,923,1310,1207,902,558,6010
1981,6,Female,05 Stroke (cerebrovascular),0,0,0,0,2,1,2,9,8,8,24,38,63,154,273,532,785,960,821,531,4211
1981,6,Female,06 Other circulatory,2,0,1,1,1,5,6,7,2,8,9,30,47,111,199,321,564,751,775,645,3485
1981,6,Female,07 Intentional injuries,1,0,1,1,5,4,6,12,10,12,18,19,15,15,24,24,14,10,6,0,197
1981,6,Female,08 Unintentional injuries,3,4,4,6,21,12,13,9,12,8,5,12,16,21,22,43,75,81,63,56,486
1981,6,Female,09 All other causes,156,20,12,7,27,20,16,23,28,22,33,64,81,109,170,305,378,497,413,345,2726
1981,6,Female,10 Neonatal,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1981,7,Male,01 Neoplasms,2,12,11,6,14,10,23,32,38,58,129,246,490,681,974,1200,1077,568,253,67,5891
1981,7,Male,02 Diseases of the respiratory system,34,5,1,2,9,10,10,7,11,7,13,31,76,153,312,528,727,625,464,298,3323
1981,7,Male,03 Diabetes,0,0,0,0,0,0,1,1,2,4,2,4,11,13,26,37,41,19,11,2,174
1981,7,Male,04 Ischaemic heart disease,0,0,0,0,0,2,1,13,39,78,176,360,636,834,1215,1523,1355,826,438,195,7691
1981,7,Male,05 Stroke (cerebrovascular),0,0,0,1,3,2,2,9,11,14,22,37,79,126,244,464,529,386,248,108,2285
1981,7,Male,06 Other circulatory,2,1,2,2,3,2,2,7,8,15,27,42,104,132,250,408,430,413,262,144,2256
1981,7,Male,07 Intentional injuries,1,1,0,1,7,17,25,18,15,22,14,19,33,18,23,17,17,9,2,2,261
1981,7,Male,08 Unintentional injuries,4,6,13,24,78,62,33,34,30,27,19,30,31,39,32,37,37,35,25,16,612
1981,7,Male,09 All other causes,214,17,15,11,25,13,14,24,24,29,44,64,92,123,160,278,316,257,165,84,1969
1981,7,Male,10 Neonatal,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
1981,7,Female,01 Neoplasms,2,7,7,8,5,10,19,34,68,85,185,324,449,527,728,833,816,665,410,208,5390
1981,7,Female,02 Diseases of the respiratory system,23,7,1,2,1,1,1,4,5,6,14,35,53,78,168,279,486,730,840,718,3452
1981,7,Female,03 Diabetes,0,0,0,0,0,0,1,0,0,3,2,4,7,18,16,32,52,42,39,9,225
1981,7,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,2,2,13,18,57,128,254,551,901,1123,1137,799,489,5474
1981,7,Female,05 Stroke (cerebrovascular),0,0,0,0,2,1,4,4,9,10,19,30,67,106,213,474,735,888,742,556,3860
1981,7,Female,06 Other circulatory,3,2,1,0,2,1,4,2,5,6,22,24,49,100,158,295,479,671,697,609,3130
1981,7,Female,07 Intentional injuries,1,1,3,0,2,2,4,8,9,11,16,15,12,12,13,12,11,9,2,0,143
1981,7,Female,08 Unintentional injuries,4,5,7,5,18,15,4,11,10,6,7,18,16,17,29,50,65,83,63,52,485
1981,7,Female,09 All other causes,161,26,8,5,12,10,17,21,22,28,26,50,67,106,175,249,383,449,409,280,2504
1981,7,Female,10 Neonatal,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1981,8,Male,01 Neoplasms,0,3,8,9,13,8,19,21,42,84,124,225,415,603,915,1024,990,598,228,70,5399
1981,8,Male,02 Diseases of the respiratory system,24,8,1,8,9,3,8,12,9,10,16,28,85,112,275,514,679,591,436,292,3120
1981,8,Male,03 Diabetes,0,0,0,0,0,0,1,2,2,1,1,7,7,13,22,31,34,24,11,3,159
1981,8,Male,04 Ischaemic heart disease,0,0,0,0,0,0,4,8,35,80,167,325,542,786,1095,1455,1266,824,444,183,7214
1981,8,Male,05 Stroke (cerebrovascular),1,0,0,0,0,2,2,5,5,11,17,36,92,107,229,400,470,409,225,114,2125
1981,8,Male,06 Other circulatory,3,1,0,3,3,4,2,7,7,14,19,33,108,143,254,359,383,404,239,178,2164
1981,8,Male,07 Intentional injuries,0,1,0,0,7,16,17,21,24,20,21,21,13,24,18,12,10,6,0,2,233
1981,8,Male,08 Unintentional injuries,4,10,6,15,111,81,37,34,23,28,22,23,27,28,39,40,37,40,25,12,642
1981,8,Male,09 All other causes,199,20,8,10,13,28,18,25,36,29,32,57,88,112,150,217,258,245,162,101,1808
1981,8,Male,10 Neonatal,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1981,8,Female,01 Neoplasms,2,4,3,2,8,8,20,36,66,100,153,284,398,472,694,811,738,645,388,187,5019
1981,8,Female,02 Diseases of the respiratory system,16,3,2,3,4,1,5,1,10,11,12,24,39,81,135,271,497,717,776,775,3383
1981,8,Female,03 Diabetes,0,0,0,0,0,0,0,1,0,1,1,2,3,9,20,31,43,44,26,7,188
1981,8,Female,04 Ischaemic heart disease,0,0,0,0,0,0,1,5,5,10,20,58,123,243,443,757,1090,1116,869,598,5338
1981,8,Female,05 Stroke (cerebrovascular),0,0,1,0,1,2,1,6,10,19,28,31,44,103,221,438,697,890,716,479,3687
1981,8,Female,06 Other circulatory,3,2,1,1,0,3,0,1,4,6,14,22,49,77,155,252,464,694,681,634,3063
1981,8,Female,07 Intentional injuries,1,0,0,0,3,4,6,11,5,9,11,13,20,10,12,12,14,4,6,2,143
1981,8,Female,08 Unintentional injuries,0,6,3,6,24,20,4,5,6,13,12,10,18,18,24,30,66,51,60,51,427
1981,8,Female,09 All other causes,130,19,6,6,11,18,12,17,14,27,42,50,70,84,168,268,342,438,362,305,2389
1981,8,Female,10 Neonatal,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1981,9,Male,01 Neoplasms,1,5,7,8,19,8,16,32,48,75,104,212,408,563,815,999,860,533,239,73,5025
1981,9,Male,02 Diseases of the respiratory system,27,3,6,2,8,4,11,3,7,9,14,25,55,136,236,411,569,586,396,249,2757
1981,9,Male,03 Diabetes,0,0,0,0,0,0,2,1,4,3,4,2,5,11,19,33,30,27,6,6,153
1981,9,Male,04 Ischaemic heart disease,0,0,0,1,0,1,3,10,32,60,150,329,531,683,998,1299,1107,722,379,165,6470
1981,9,Male,05 Stroke (cerebrovascular),0,0,1,2,1,1,2,6,7,9,20,38,64,106,226,372,444,365,226,112,2002
1981,9,Male,06 Other circulatory,1,1,0,0,2,4,0,7,5,6,20,38,83,141,208,299,336,290,211,131,1783
1981,9,Male,07 Intentional injuries,0,0,1,0,7,16,20,17,15,20,12,15,14,15,12,14,14,11,2,0,205
1981,9,Male,08 Unintentional injuries,2,8,9,18,102,61,26,23,22,20,21,25,17,29,28,31,41,29,24,14,550
1981,9,Male,09 All other causes,210,21,8,13,18,20,19,27,25,26,37,43,86,103,161,212,277,214,145,78,1743
1981,9,Male,10 Neonatal,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1981,9,Female,01 Neoplasms,2,5,9,8,5,8,21,47,51,100,162,238,416,499,635,741,706,588,382,155,4778
1981,9,Female,02 Diseases of the respiratory system,18,3,6,4,5,4,5,2,1,11,11,27,49,71,121,228,411,619,679,654,2929
1981,9,Female,03 Diabetes,0,0,0,0,1,0,0,1,1,3,1,2,7,9,15,21,39,34,23,9,166
1981,9,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,2,3,7,18,46,122,197,410,774,900,1000,727,478,4684
1981,9,Female,05 Stroke (cerebrovascular),0,0,0,3,0,2,2,4,8,8,21,27,66,95,200,394,605,773,652,488,3348
1981,9,Female,06 Other circulatory,2,0,0,1,3,2,2,3,4,8,9,38,42,78,114,267,397,589,576,572,2707
1981,9,Female,07 Intentional injuries,0,0,0,0,0,9,10,11,8,10,10,11,10,13,14,16,16,5,5,0,148
1981,9,Female,08 Unintentional injuries,3,1,9,9,23,8,7,12,10,7,10,14,12,21,17,34,52,49,50,37,385
1981,9,Female,09 All other causes,136,12,6,16,7,18,5,21,19,22,26,53,70,100,132,212,319,361,321,256,2112
1981,9,Female,10 Neonatal,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1981,10,Male,01 Neoplasms,1,8,4,15,14,15,20,17,42,72,95,201,361,451,728,824,744,458,217,69,4356
1981,10,Male,02 Diseases of the respiratory system,18,7,2,0,7,4,5,5,3,4,15,22,51,98,163,341,471,479,326,215,2236
1981,10,Male,03 Diabetes,0,0,0,0,1,1,1,0,1,4,2,4,11,8,16,10,26,14,10,2,111
1981,10,Male,04 Ischaemic heart disease,1,0,0,0,0,0,1,8,24,65,139,280,448,613,854,1073,973,709,371,174,5733
1981,10,Male,05 Stroke (cerebrovascular),0,0,1,1,1,0,4,4,5,16,18,40,78,99,190,339,366,321,194,105,1782
1981,10,Male,06 Other circulatory,2,2,0,0,5,3,2,7,4,11,13,39,60,82,195,276,313,301,185,130,1630
1981,10,Male,07 Intentional injuries,1,0,0,0,6,13,5,15,17,13,18,18,11,18,15,11,6,5,3,0,175
1981,10,Male,08 Unintentional injuries,3,9,9,13,83,58,17,30,21,22,26,17,22,21,18,33,40,24,16,12,494
1981,10,Male,09 All other causes,168,9,8,13,17,11,10,11,18,20,23,39,72,85,119,162,219,178,126,62,1370
1981,10,Male,10 Neonatal,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1981,10,Female,01 Neoplasms,2,6,6,5,8,11,8,39,68,89,170,267,367,428,545,626,630,555,322,161,4313
1981,10,Female,02 Diseases of the respiratory system,11,9,3,3,2,0,5,3,1,7,12,11,38,70,94,220,368,501,576,545,2479
1981,10,Female,03 Diabetes,0,0,0,0,0,0,1,1,2,0,3,2,4,6,6,31,27,22,18,9,132
1981,10,Female,04 Ischaemic heart disease,0,0,0,0,0,1,1,2,3,9,17,45,74,178,295,569,898,831,653,405,3981
1981,10,Female,05 Stroke (cerebrovascular),0,0,0,1,0,1,1,5,3,8,15,26,44,68,165,312,454,707,547,474,2831
1981,10,Female,06 Other circulatory,1,2,0,2,4,1,1,1,5,6,12,22,32,64,113,204,325,463,478,463,2199
1981,10,Female,07 Intentional injuries,1,0,0,0,0,2,1,4,7,13,8,15,13,12,15,11,8,5,1,2,118
1981,10,Female,08 Unintentional injuries,3,4,1,4,21,7,3,10,4,7,11,11,14,16,14,28,36,51,41,35,321
1981,10,Female,09 All other causes,104,22,7,15,18,5,8,15,13,17,30,49,65,77,142,179,290,304,303,272,1935
1981,10,Female,10 Neonatal,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1982,1,Male,01 Neoplasms,3,9,9,12,24,27,18,35,48,112,200,483,950,1384,1795,1886,1462,832,250,74,9613
1982,1,Male,02 Diseases of the respiratory system,75,19,4,3,8,6,8,10,20,26,46,136,284,453,758,1193,1366,1092,597,279,6383
1982,1,Male,03 Diabetes,0,0,0,1,2,0,2,2,3,5,6,12,21,34,31,48,47,19,10,0,243
1982,1,Male,04 Ischaemic heart disease,0,0,0,0,0,0,8,21,77,174,330,634,1162,1462,1870,2169,1814,1059,439,145,11364
1982,1,Male,05 Stroke (cerebrovascular),4,1,0,0,3,6,7,10,17,24,52,97,160,310,429,619,690,515,225,86,3255
1982,1,Male,06 Other circulatory,4,3,2,1,5,6,6,12,19,19,44,94,179,279,370,500,550,402,229,104,2828
1982,1,Male,07 Intentional injuries,5,1,0,1,17,28,29,39,33,27,36,30,35,31,28,20,16,9,2,2,389
1982,1,Male,08 Unintentional injuries,13,26,24,32,107,118,48,37,44,38,40,45,64,61,55,68,76,53,33,11,993
1982,1,Male,09 All other causes,520,55,11,18,45,43,47,65,48,80,88,123,201,258,319,444,441,355,173,63,3397
1982,1,Male,10 Neonatal,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
1982,1,Female,01 Neoplasms,3,3,2,11,13,14,26,53,85,119,222,425,756,977,1166,1240,1222,911,527,189,7964
1982,1,Female,02 Diseases of the respiratory system,54,11,4,2,5,9,7,3,17,18,41,77,153,271,364,667,987,1304,1188,936,6118
1982,1,Female,03 Diabetes,0,0,1,1,0,1,1,2,3,1,9,9,15,28,38,60,64,80,32,13,358
1982,1,Female,04 Ischaemic heart disease,1,0,0,0,0,0,3,2,21,26,66,148,355,645,1018,1554,1845,1803,1162,546,9195
1982,1,Female,05 Stroke (cerebrovascular),0,0,0,3,1,1,11,6,11,16,41,80,145,240,387,736,988,1102,884,460,5112
1982,1,Female,06 Other circulatory,5,2,1,3,2,3,8,13,9,22,43,60,118,230,296,559,721,886,840,575,4396
1982,1,Female,07 Intentional injuries,3,1,1,2,10,20,11,9,10,19,11,17,17,21,19,20,21,6,2,3,223
1982,1,Female,08 Unintentional injuries,20,24,14,13,29,18,16,14,12,14,16,15,23,26,43,75,118,120,137,71,818
1982,1,Female,09 All other causes,418,43,14,8,25,47,30,42,34,35,69,91,127,207,266,426,594,703,523,325,4027
1982,1,Female,10 Neonatal,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
1982,2,Male,01 Neoplasms,2,7,10,12,13,24,18,30,55,72,184,377,751,1104,1452,1627,1300,707,280,72,8097
1982,2,Male,02 Diseases of the respiratory system,62,9,5,2,8,5,13,13,16,15,43,90,202,323,594,920,1190,1013,573,298,5394
1982,2,Male,03 Diabetes,0,0,0,1,0,0,1,2,3,6,2,8,19,18,32,47,43,15,10,1,208
1982,2,Male,04 Ischaemic heart disease,0,0,0,0,1,2,5,25,48,130,265,565,907,1258,1594,1831,1592,963,414,145,9745
